fips,county_name,poverty_rate,unemployment_rate,food_insecurity_rate,housing_cost_burden
39001,Adams,20.3,6.0,19.7,10.758341759
39003,Allen,13.1,4.4,14.3,10.109018831
39005,Ashland,13.8,4.3,14.0,7.9724409449
39007,Ashtabula,18.3,4.3,16.9,12.098503906
39009,Athens,22.1,5.2,18.3,18.144235186
39011,Auglaize,7.5,3.7,11.6,5.5487316422
39013,Belmont,14.3,5.2,15.9,5.5223285486
39015,Brown,17.4,5.0,16.6,9.4300208893
39017,Butler,11.7,4.2,12.9,10.420813193
39019,Carroll,12.5,4.8,15.1,6.8314606742
39021,Champaign,8.2,4.2,13.2,6.6147354755
39023,Clark,15.6,4.7,15.9,9.9413597215
39025,Clermont,8.8,4.1,13.0,9.5261568797
39027,Clinton,14.8,4.1,15.8,10.442532268
39029,Columbiana,13.9,4.9,15.8,8.4847740668
39031,Coshocton,18.8,4.8,17.8,9.6796657382
39033,Crawford,13.2,4.9,16.1,8.2528089888
39035,Cuyahoga,16.2,3.9,15.1,14.213564882
39037,Darke,11.2,4.0,14.0,6.8789499271
39039,Defiance,10.0,4.0,13.4,7.012296444
39041,Delaware,5.0,3.6,9.3,7.217847769
39043,Erie,12.5,4.8,14.3,11.799558777
39045,Fairfield,8.2,4.0,12.2,9.2972690903
39047,Fayette,16.0,4.5,17.3,10.515002239
39049,Franklin,14.5,4.0,13.5,12.77495211
39051,Fulton,8.7,4.7,12.8,6.8065967016
39053,Gallia,14.8,5.2,17.2,11.290322581
39055,Geauga,5.8,3.4,10.6,8.3882993978
39057,Greene,9.8,4.0,13.2,8.7201768427
39059,Guernsey,15.8,5.5,17.1,9.8965841429
39061,Hamilton,14.9,4.1,13.3,13.67853892
39063,Hancock,10.3,4.0,13.3,7.7936869509
39065,Hardin,18.2,4.4,16.3,8.1632653061
39067,Harrison,14.6,5.0,16.4,11.315789474
39069,Henry,8.4,4.7,13.3,6.5333939119
39071,Highland,14.4,4.6,16.5,8.5906450627
39073,Hocking,17.1,4.6,16.6,6.3628158845
39075,Holmes,8.8,3.2,11.5,6.3601532567
39077,Huron,12.0,5.2,14.9,9.2664930556
39079,Jackson,17.7,5.2,18.2,10.089503662
39081,Jefferson,16.9,5.8,17.5,10.003803728
39083,Knox,11.0,4.1,14.5,8.4649122807
39085,Lake,8.2,3.6,12.6,8.2248642001
39087,Lawrence,17.5,5.0,18.5,12.399283796
39089,Licking,10.1,4.0,13.2,8.7419232231
39091,Logan,11.3,4.0,13.4,7.1661760771
39093,Lorain,12.8,4.0,14.7,11.685965345
39095,Lucas,17.8,6.0,15.8,12.428107739
39097,Madison,9.7,3.7,13.0,6.8166776969
39099,Mahoning,18.3,5.0,16.1,10.650083612
39101,Marion,15.3,4.4,16.8,10.285833507
39103,Medina,6.1,3.3,11.4,7.793951385
39105,Meigs,22.0,6.8,19.4,10.981775426
39107,Mercer,6.1,3.3,11.0,6.239757973
39109,Miami,8.6,3.9,12.4,8.4260547056
39111,Monroe,15.1,6.2,17.1,7.2545454545
39113,Montgomery,14.9,4.5,14.6,11.893040949
39115,Morgan,14.3,5.5,17.5,8.6126126126
39117,Morrow,10.9,4.2,13.8,6.5764023211
39119,Muskingum,15.6,4.6,16.1,11.360929124
39121,Noble,11.7,6.4,18.0,6.4008859358
39123,Ottawa,8.4,6.0,13.7,7.0931537598
39125,Paulding,9.6,4.0,13.6,5.4818388956
39127,Perry,14.7,5.0,16.4,9.4172134311
39129,Pickaway,12.1,4.1,14.5,9.6388482186
39131,Pike,19.9,5.4,20.4,11.624513619
39133,Portage,11.4,4.3,13.3,11.983061681
39135,Preble,11.2,3.9,13.4,7.7575757576
39137,Putnam,7.1,3.5,10.4,4.7013782542
39139,Richland,13.9,5.0,15.2,10.531144867
39141,Ross,16.8,4.6,16.3,12.316403569
39143,Sandusky,13.2,4.7,15.2,9.387755102
39145,Scioto,22.4,5.8,20.9,11.054637865
39147,Seneca,11.9,4.4,14.4,8.0824455767
39149,Shelby,11.1,3.9,13.5,5.9273422562
39151,Stark,12.7,4.5,14.5,9.03095207
39153,Summit,12.6,4.4,13.6,11.459696923
39155,Trumbull,16.8,5.2,16.7,10.293326961
39157,Tuscarawas,13.0,4.0,14.8,9.8457411133
39159,Union,5.1,3.3,10.1,6.6232860795
39161,Van Wert,9.5,3.8,12.5,8.2964121275
39163,Vinton,16.7,5.2,19.1,10.057988402
39165,Warren,5.4,3.8,10.4,7.0662205814
39167,Washington,12.9,5.0,15.9,8.9421487603
39169,Wayne,8.7,3.9,12.6,8.3014107122
39171,Williams,11.9,4.4,14.3,6.4541519087
39173,Wood,12.0,4.3,13.6,10.813388004
39175,Wyandot,7.5,3.9,12.3,6.1281337047
