fips,county_name,poverty_rate,unemployment_rate,food_insecurity_rate,housing_cost_burden,poverty_rate_scaled,unemployment_rate_scaled,food_insecurity_rate_scaled,housing_cost_burden_scaled
39001,Adams,20.3,6.0,19.7,10.758341759,87.93103448275863,77.77777777777779,89.6551724137931,45.0571149832878
39003,Allen,13.1,4.4,14.3,10.109018831,46.55172413793104,33.33333333333334,43.10344827586208,40.22686995952368
39005,Ashland,13.8,4.3,14.0,7.9724409449,50.57471264367817,30.55555555555555,40.51724137931035,24.333091598721673
39007,Ashtabula,18.3,4.3,16.9,12.098503906,76.4367816091954,30.55555555555555,65.51724137931033,55.02644035660003
39009,Athens,22.1,5.2,18.3,18.144235186,98.27586206896554,55.555555555555564,77.58620689655174,100.0
39011,Auglaize,7.5,3.7,11.6,5.5487316422,14.367816091954024,13.888888888888891,19.827586206896544,6.30337280459727
39013,Belmont,14.3,5.2,15.9,5.5223285486,53.448275862068975,55.555555555555564,56.89655172413794,6.106962966019418
39015,Brown,17.4,5.0,16.6,9.4300208893,71.26436781609195,50.0,62.93103448275864,35.1758756274053
39017,Butler,11.7,4.2,12.9,10.420813193,38.50574712643678,27.777777777777782,31.03448275862069,42.54627545183707
39019,Carroll,12.5,4.8,15.1,6.8314606742,43.10344827586207,44.44444444444444,50.0,15.845459271095446
39021,Champaign,8.2,4.2,13.2,6.6147354755,18.39080459770115,27.777777777777782,33.62068965517241,14.233263293711195
39023,Clark,15.6,4.7,15.9,9.9413597215,60.919540229885065,41.66666666666667,56.89655172413794,38.979671463321644
39025,Clermont,8.8,4.1,13.0,9.5261568797,21.83908045977012,24.999999999999986,31.896551724137932,35.89102115701802
39027,Clinton,14.8,4.1,15.8,10.442532268,56.32183908045978,24.999999999999986,56.0344827586207,42.707841368295064
39029,Columbiana,13.9,4.9,15.8,8.4847740668,51.14942528735632,47.222222222222236,56.0344827586207,28.144283851225985
39031,Coshocton,18.8,4.8,17.8,9.6796657382,79.3103448275862,44.44444444444444,73.27586206896554,37.032957423087055
39033,Crawford,13.2,4.9,16.1,8.2528089888,47.12643678160919,47.222222222222236,58.620689655172434,26.41872001329455
39035,Cuyahoga,16.2,3.9,15.1,14.213564882,64.36781609195403,19.44444444444444,50.0,70.76015668438954
39037,Darke,11.2,4.0,14.0,6.8789499271,35.632183908045974,22.22222222222222,40.51724137931035,16.19872683275238
39039,Defiance,10.0,4.0,13.4,7.012296444,28.73563218390805,22.22222222222222,35.3448275862069,17.19067755852824
39041,Delaware,5.0,3.6,9.3,7.217847769,0.0,11.11111111111111,0.0,18.719752263725418
39043,Erie,12.5,4.8,14.3,11.799558777,43.10344827586207,44.44444444444444,43.10344827586208,52.80261895824218
39045,Fairfield,8.2,4.0,12.2,9.2972690903,18.39080459770115,22.22222222222222,24.999999999999996,34.18834894558839
39047,Fayette,16.0,4.5,17.3,10.515002239,63.2183908045977,36.11111111111111,68.96551724137932,43.246937866663394
39049,Franklin,14.5,4.0,13.5,12.77495211,54.59770114942529,22.22222222222222,36.20689655172414,60.05846745792114
39051,Fulton,8.7,4.7,12.8,6.8065967016,21.26436781609195,41.66666666666667,30.172413793103456,15.660498791889705
39053,Gallia,14.8,5.2,17.2,11.290322581,56.32183908045978,55.555555555555564,68.10344827586208,49.01446441205069
39055,Geauga,5.8,3.4,10.6,8.3882993978,4.597701149425287,5.555555555555548,11.20689655172413,27.42661892709975
39057,Greene,9.8,4.0,13.2,8.7201768427,27.58620689655173,22.22222222222222,33.62068965517241,29.895420362566366
39059,Guernsey,15.8,5.5,17.1,9.8965841429,62.06896551724139,63.888888888888886,67.24137931034485,38.6465906396012
39061,Hamilton,14.9,4.1,13.3,13.67853892,56.896551724137936,24.999999999999986,34.48275862068966,66.78015477918173
39063,Hancock,10.3,4.0,13.3,7.7936869509,30.459770114942536,22.22222222222222,34.48275862068966,23.003359422690366
39065,Hardin,18.2,4.4,16.3,8.1632653061,75.86206896551725,33.33333333333334,60.34482758620691,25.75261396787366
39067,Harrison,14.6,5.0,16.4,11.315789474,55.17241379310345,50.0,61.20689655172413,49.20390995275087
39069,Henry,8.4,4.7,13.3,6.5333939119,19.540229885057474,41.66666666666667,34.48275862068966,13.62817195031096
39071,Highland,14.4,4.6,16.5,8.5906450627,54.02298850574713,38.88888888888888,62.06896551724138,28.931847063697248
39073,Hocking,17.1,4.6,16.6,6.3628158845,69.54022988505749,38.88888888888888,62.93103448275864,12.359259930601176
39075,Holmes,8.8,3.2,11.5,6.3601532567,21.83908045977012,0.0,18.96551724137931,12.33945292221369
39077,Huron,12.0,5.2,14.9,9.2664930556,40.229885057471265,55.555555555555564,48.27586206896552,33.95940925772191
